1645031569472,0.029,2.912,8.836
1645031569528,0.196,3.079,9.189
1645031569529,0.382,3.138,9.571
1645031569530,0.5,3.148,9.797
1645031569531,0.696,3.138,9.767
1645031569534,0.843,3.079,8.973
1645031569538,0.843,3.079,8.973
1645031569538,0.843,3.079,8.973
1645031569543,0.892,2.971,8.453
1645031569553,0.941,2.853,8.061
1645031569562,1.019,2.775,7.698
1645031569572,1.098,2.677,7.463
1645031569585,1.225,2.647,7.316
1645031569592,1.323,2.608,7.208
1645031569602,1.363,2.559,7.188
1645031569612,1.353,2.579,7.217
1645031569622,1.225,2.53,7.178
1645031569634,1.049,2.49,7.031
1645031569644,0.833,2.49,6.943
1645031569652,0.774,2.53,7.012
1645031569661,0.804,2.608,7.394
1645031569672,0.951,2.696,8.031
1645031569682,1.098,2.726,8.826
1645031569692,1.265,2.785,9.453
1645031569705,1.196,2.755,10.052
1645031569712,0.99,2.775,10.552
1645031569722,0.804,2.834,10.797
1645031569732,0.588,2.932,10.826
1645031569742,0.421,3.128,10.62
1645031569752,0.451,3.334,10.336
1645031569767,0.608,3.618,10.14
1645031569772,0.833,3.814,10.052
1645031569783,0.99,4.001,10.111
1645031569792,1.274,4.05,10.817
1645031569802,1.559,4.04,11.621
1645031569812,1.598,4.099,12.484
1645031569824,1.618,4.177,13.16
1645031569832,1.186,4.148,13.69
1645031569841,1.078,3.932,13.69
1645031569852,0.637,3.638,13.798
1645031569863,0.441,3.432,13.994
1645031569872,1.088,3.157,14.053
1645031569884,1.323,2.706,13.729
1645031569892,1.431,2.147,13.327
1645031569902,1.382,1.765,13.249
1645031569914,1.265,1.353,13.18
1645031569921,1.186,1.147,13.141
1645031569932,1.137,1.088,12.964
1645031569949,1.127,1.235,12.592
1645031569951,1.117,1.402,11.915
1645031569962,1.039,1.529,11.081
1645031569972,1.088,1.657,10.16
1645031569982,1.274,1.676,9.297
1645031569992,1.51,1.676,8.541
1645031570004,1.863,1.676,7.875
1645031570012,1.784,1.48,7.472
1645031570021,1.245,1.412,7.335
1645031570032,0.588,1.245,7.149
1645031570041,-0.049,1.206,7.041
1645031570052,-0.608,1.245,7.11
1645031570064,-1.0,1.412,7.374
1645031570072,-1.392,1.627,7.796
1645031570081,-1.833,1.882,8.257
1645031570092,-2.304,2.01,8.639
1645031570101,-2.638,2.137,8.708
1645031570112,-2.677,2.196,8.404
1645031570124,-2.441,2.285,7.924
1645031570132,-2.03,2.206,7.541
1645031570141,-1.402,2.108,7.374
1645031570152,-0.568,1.99,7.58
1645031570161,0.392,2.03,8.08
1645031570172,1.196,2.069,8.875
1645031570184,1.588,2.147,9.659
1645031570192,1.608,2.147,10.199
1645031570201,1.265,2.118,10.454
1645031570212,0.715,2.147,10.424
1645031570221,0.215,2.206,10.101
1645031570232,-0.088,2.285,9.689
1645031570244,-0.107,2.422,9.542
1645031570252,-0.088,2.471,9.679
1645031570261,0.049,2.481,9.993
1645031570272,0.382,2.471,10.13
1645031570281,0.725,2.461,10.316
1645031570292,0.931,2.363,10.748
1645031570304,0.833,2.324,11.346
1645031570312,0.598,2.304,12.092
1645031570321,0.343,2.402,12.984
1645031570332,0.078,2.608,13.612
1645031570341,-0.382,2.422,13.965
1645031570352,-0.863,2.069,13.719
1645031570364,-1.167,1.686,12.876
1645031570372,-1.294,1.392,11.905
1645031570381,-1.363,1.167,11.444
1645031570392,-1.245,1.029,11.385
1645031570401,-0.99,0.961,11.65
1645031570412,-0.676,1.019,12.042
1645031570424,-0.431,1.117,12.121
1645031570432,-0.166,1.304,12.082
1645031570441,0.039,1.51,11.65
1645031570452,0.147,1.539,10.924
1645031570461,0.196,1.627,10.307
1645031570472,0.274,1.716,9.777
1645031570484,0.588,1.667,9.434
1645031570492,1.068,1.255,9.395
1645031570501,1.833,0.784,9.718
1645031570512,2.638,0.47,10.248
1645031570521,3.216,0.264,10.65
1645031570532,3.422,0.107,10.905
1645031570544,3.304,-0.009,10.728
1645031570552,2.961,-0.078,10.326
1645031570561,2.618,-0.068,9.708
1645031570572,2.402,0.205,9.081
1645031570581,2.226,0.46,8.571
1645031570592,2.235,0.647,7.982
1645031570604,2.451,0.872,7.472
1645031570612,2.824,1.019,7.266
1645031570621,3.206,0.97,6.658
1645031570632,3.295,1.068,6.345
1645031570641,3.0,0.833,6.188
1645031570652,2.608,0.657,6.453
1645031570664,2.392,0.696,6.982
1645031570672,2.343,0.843,7.678
1645031570681,2.373,0.902,8.384
1645031570692,2.412,0.872,8.973
1645031570701,2.383,0.833,9.581
1645031570712,2.461,0.745,11.003
1645031570724,3.285,0.549,11.425
1645031570732,3.854,0.421,11.66
1645031570742,4.187,0.304,11.67
1645031570752,4.295,0.156,11.385
1645031570762,4.089,0.078,11.042
1645031570772,3.893,0.196,10.964
1645031570784,3.648,0.421,11.101
1645031570792,3.452,0.637,11.219
1645031570802,3.324,0.813,11.278
1645031570812,3.295,0.823,11.425
1645031570821,3.304,0.784,11.738
1645031570832,3.608,0.735,12.16
1645031570844,4.03,0.794,12.778
1645031570852,4.373,0.794,13.298
1645031570861,4.677,0.804,13.386
1645031570872,5.178,0.931,12.709
1645031570881,5.776,1.245,11.66
1645031570892,6.109,1.637,10.63
1645031570904,5.962,1.971,9.777
1645031570912,5.511,2.177,9.434
1645031570921,4.805,2.275,9.64
1645031570932,4.226,2.186,10.003
1645031570941,4.442,1.441,10.542
1645031570952,4.481,1.461,10.924
1645031570964,4.04,1.461,10.67
1645031570972,3.716,0.804,10.14
1645031570981,3.697,1.098,9.865
1645031570992,3.226,0.823,9.885
1645031571001,2.912,0.558,9.395
1645031571012,3.177,0.529,8.463
1645031571024,3.324,0.676,7.629
1645031571032,3.01,0.441,7.257
1645031571041,2.667,0.578,7.355
1645031571052,2.079,0.892,7.492
1645031571061,1.382,1.068,7.492
1645031571072,0.961,1.274,6.943
1645031571085,0.853,1.343,6.09
1645031571092,1.049,1.343,5.148
1645031571101,1.323,1.225,4.668
1645031571112,1.52,1.078,5.089
1645031571121,1.647,0.951,6.374
1645031571132,1.696,0.745,8.541
1645031571145,1.686,0.225,8.767
1645031571151,1.794,0.107,8.669
1645031571161,1.99,0.254,8.522
1645031571172,2.069,0.304,8.012
1645031571181,2.02,0.451,7.316
1645031571191,2.039,0.666,6.551
1645031571204,2.177,0.97,5.972
1645031571211,2.285,1.284,5.648
1645031571221,2.402,1.569,5.423
1645031571232,2.177,1.716,5.835
1645031571241,2.147,1.598,6.09
1645031571252,2.216,1.775,6.609
1645031571264,1.794,1.657,7.266
1645031571272,1.431,1.274,8.1
1645031571282,1.294,1.049,9.277
1645031571292,0.921,0.892,10.866
1645031571301,0.441,0.627,12.435
1645031571312,0.166,0.382,13.484
1645031571324,0.215,0.304,14.004
1645031571332,0.617,0.147,13.886
1645031571341,1.127,0.058,13.563
1645031571352,1.539,0.019,13.415
1645031571361,1.784,0.029,13.386
1645031571373,1.971,0.225,13.484
1645031571402,1.804,0.304,13.523
1645031571402,1.206,0.127,13.062
1645031571403,0.813,0.088,12.572
1645031571412,0.186,0.147,12.023
1645031571422,-0.235,0.382,12.209
1645031571433,-0.049,0.794,13.543
1645031571444,0.284,0.921,15.838
1645031571452,0.421,0.686,17.682
1645031571462,0.696,0.343,18.613
1645031571472,0.804,-0.147,18.221
1645031571482,0.843,-0.294,16.534
1645031571492,0.657,-0.274,14.298
1645031571504,0.294,-0.313,12.18
1645031571513,0.147,-0.147,10.395
1645031571522,0.137,0.147,8.943
1645031571533,0.019,0.509,7.698
1645031571542,-0.196,0.823,6.678
1645031571552,-0.254,1.117,5.854
1645031571566,0.235,1.706,4.942
1645031571572,0.5,1.941,4.736
1645031571582,0.666,2.049,4.619
1645031571592,0.715,2.108,4.54
1645031571601,0.657,2.167,4.756
1645031571613,0.5,2.186,5.491
1645031571624,0.304,2.137,6.345
1645031571631,0.0,2.049,7.237
1645031571641,-0.235,1.941,7.924
1645031571652,-0.294,1.824,8.384
1645031571662,-0.196,1.696,8.649
1645031571672,-0.009,1.559,8.747
1645031571684,0.264,1.441,8.757
1645031571692,0.509,1.382,8.845
1645031571701,0.676,1.382,8.983
1645031571712,0.696,1.382,9.198
1645031571721,0.706,1.382,9.395
1645031571732,0.647,1.372,9.444
1645031571750,0.676,1.294,9.444
1645031571750,0.676,1.294,9.444
1645031571752,0.794,1.235,9.385
1645031571762,0.784,1.225,9.61
1645031571772,0.588,1.206,10.238
