1645031542876,0.049,3.775,9.865
1645031542900,0.235,3.697,10.562
1645031542906,0.411,3.638,11.14
1645031542907,0.5,3.432,11.729
1645031542920,0.637,3.285,12.396
1645031542925,0.813,3.099,12.7
1645031542932,1.0,2.853,12.651
1645031542942,1.206,2.647,12.258
1645031542952,1.441,2.559,11.464
1645031542962,1.598,2.51,10.513
1645031542972,1.667,2.52,9.502
1645031542984,1.647,2.549,8.61
1645031542992,1.578,2.628,7.875
1645031543002,1.431,2.696,7.345
1645031543012,1.245,2.745,6.943
1645031543022,1.01,2.755,6.619
1645031543032,0.804,2.745,6.276
1645031543044,0.608,2.745,5.992
1645031543052,0.549,2.716,5.913
1645031543061,0.568,2.589,5.962
1645031543072,0.657,2.49,6.109
1645031543081,0.794,2.392,6.296
1645031543092,0.921,2.334,6.58
1645031543106,1.029,2.255,6.825
1645031543112,1.019,2.235,7.051
1645031543122,0.961,2.265,7.198
1645031543132,0.921,2.343,7.208
1645031543142,0.823,2.422,7.07
1645031543152,0.735,2.53,6.423
1645031543164,0.608,2.834,6.031
1645031543172,0.588,2.991,5.815
1645031543182,0.666,3.216,5.776
1645031543192,0.804,3.51,5.825
1645031543206,0.882,3.765,5.982
1645031543212,0.902,3.952,6.266
1645031543225,0.98,4.099,6.57
1645031543232,1.088,4.236,6.943
1645031543241,1.196,4.344,7.208
1645031543254,1.323,4.334,7.374
1645031543261,1.412,4.354,7.561
1645031543272,1.52,4.324,7.718
1645031543293,1.569,4.334,7.904
1645031543294,1.569,4.334,7.904
1645031543294,1.569,4.334,7.904
1645031543295,1.529,4.275,8.296
1645031543304,1.363,4.197,8.787
1645031543312,1.225,4.079,9.248
1645031543322,1.147,3.942,9.542
1645031543335,1.245,3.775,9.728
1645031543345,1.431,3.716,9.797
1645031543353,1.608,3.648,9.895
1645031543362,1.441,3.52,10.111
1645031543372,1.147,3.295,10.297
1645031543387,1.0,3.255,10.424
1645031543392,0.99,3.412,10.503
1645031543408,1.108,3.677,10.513
1645031543412,1.216,3.912,10.62
1645031543422,1.167,4.118,10.915
1645031543433,0.843,4.275,11.542
1645031543442,0.254,4.442,12.484
1645031543452,-0.431,4.648,13.435
1645031543473,-1.333,4.589,14.367
1645031543474,-1.333,4.589,14.367
1645031543474,-1.333,4.589,14.367
1645031543475,-2.157,4.373,15.024
1645031543482,-2.716,4.011,15.112
1645031543492,-2.844,3.501,14.808
1645031543502,-2.412,3.01,14.161
1645031543512,-1.451,2.785,13.366
1645031543525,-0.294,2.814,12.376
1645031543532,0.725,2.951,11.229
1645031543544,1.726,3.501,9.149
1645031543552,1.726,3.501,9.149
1645031543562,1.676,3.599,8.502
1645031543575,1.225,3.677,8.022
1645031543586,1.059,3.53,7.825
1645031543592,0.912,3.559,7.561
1645031543607,0.725,3.412,7.306
1645031543613,0.529,3.304,6.982
1645031543622,0.362,3.197,6.639
1645031543632,0.235,3.069,6.354
1645031543645,0.186,3.02,6.178
1645031543652,0.274,3.0,6.119
1645031543663,0.392,2.971,6.266
1645031543672,0.382,2.912,6.462
1645031543682,0.264,2.824,6.59
1645031543692,0.078,2.726,6.727
1645031543705,-0.127,2.667,6.953
1645031543715,-0.353,2.657,7.051
1645031543723,-0.568,2.559,7.257
1645031543732,-0.715,2.51,7.433
1645031543742,-0.804,2.51,7.659
1645031543752,-0.735,2.559,7.963
1645031543766,-0.5,2.716,8.247
1645031543772,-0.176,2.981,8.483
1645031543782,-0.009,3.226,8.885
1645031543792,-0.176,3.295,9.385
1645031543802,-0.627,3.304,10.003
1645031543812,-0.97,3.383,10.571
1645031543827,-0.892,3.638,10.807
1645031543833,-0.5,3.824,10.709
1645031543843,-0.274,3.687,10.601
1645031543852,-0.098,3.344,10.571
1645031543863,0.47,3.206,10.748
1645031543872,1.216,3.275,11.395
1645031543886,1.971,3.353,12.239
1645031543893,2.569,3.422,13.092
1645031543903,2.942,3.481,13.994
1645031543912,3.01,3.608,14.936
1645031543923,2.736,3.863,15.602
1645031543932,2.039,4.03,15.926
1645031543946,1.068,4.128,16.034
1645031543952,0.156,4.128,16.054
1645031543963,-0.813,4.167,15.485
1645031543972,-0.813,4.275,15.485
1645031543983,-0.676,4.246,13.043
1645031543993,-0.558,4.03,11.464
1645031544006,-0.392,3.814,9.846
1645031544012,-0.196,3.648,8.375
1645031544023,0.0,3.501,7.149
1645031544032,0.254,3.353,6.129
1645031544043,0.598,3.236,5.58
1645031544052,0.951,3.108,5.374
1645031544066,1.314,2.971,5.433
1645031544072,1.608,2.893,5.776
1645031544083,1.735,2.844,6.227
1645031544092,1.667,2.687,6.639
1645031544103,1.5,2.589,6.688
1645031544112,1.304,2.52,6.737
1645031544126,1.137,2.451,6.806
1645031544132,1.127,2.392,6.894
1645031544143,1.225,2.343,6.904
1645031544152,1.402,2.265,6.776
1645031544163,1.52,2.137,6.629
1645031544172,1.588,1.981,6.531
1645031544191,1.627,1.833,6.482
1645031544203,1.627,1.784,6.384
1645031544214,1.686,1.931,6.198
1645031544220,1.765,2.147,5.943
1645031544222,1.784,2.373,5.864
1645031544232,1.588,2.608,5.982
1645031544246,1.314,2.844,6.374
1645031544252,0.97,2.981,7.168
1645031544262,0.666,2.981,8.836
1645031544272,0.519,3.059,11.278
1645031544282,0.46,3.089,13.759
1645031544292,0.196,2.834,15.946
1645031544306,-0.323,2.471,17.603
1645031544312,-0.921,2.059,18.309
1645031544322,-1.431,1.745,17.897
1645031544332,-1.696,1.716,16.848
1645031544343,-1.863,1.922,15.259
1645031544352,-2.088,2.157,13.67
1645031544366,-2.235,2.304,12.347
1645031544373,-1.284,2.589,10.905
1645031544383,-1.284,2.589,10.905
1645031544392,-0.509,2.667,10.728
1645031544403,0.715,2.716,10.719
1645031544412,0.715,2.716,10.719
1645031544426,1.029,2.834,10.209
1645031544432,0.912,2.932,9.581
1645031544443,0.745,3.059,8.885
1645031544452,0.49,3.148,8.286
1645031544463,0.323,3.226,7.816
1645031544472,0.225,3.265,7.482
1645031544487,0.235,3.255,7.198
1645031544493,0.304,3.236,6.972
1645031544510,0.549,3.148,6.864
1645031544526,0.774,3.099,6.943
1645031544534,1.01,3.02,7.198
1645031544536,1.186,3.0,7.541
