1645031512967,0.774,3.912,11.729
1645031512980,0.245,3.873,12.484
1645031512981,-0.294,3.785,12.955
1645031512993,-0.823,3.569,13.357
1645031512996,-1.216,3.255,13.631
1645031513019,-1.431,2.853,13.818
1645031513019,-1.431,2.853,13.818
1645031513019,-1.431,2.853,13.818
1645031513019,-1.441,2.51,13.837
1645031513027,-1.392,2.157,13.818
1645031513036,-1.265,1.971,13.886
1645031513046,-1.127,1.794,13.71
1645031513058,-1.098,1.51,13.553
1645031513072,-1.068,1.225,13.386
1645031513079,-1.01,1.019,13.013
1645031513086,-0.853,0.872,12.474
1645031513096,-0.774,0.735,11.748
1645031513109,-0.755,0.627,10.797
1645031513116,-0.823,0.588,9.865
1645031513131,-1.0,0.539,8.993
1645031513136,-1.206,0.686,8.169
1645031513146,-1.431,0.813,7.463
1645031513158,-1.618,1.049,6.855
1645031513166,-1.784,1.353,6.472
1645031513178,-1.941,1.618,6.403
1645031513191,-1.99,1.833,6.649
1645031513196,-2.039,1.981,7.257
1645031513207,-2.088,2.108,8.002
1645031513216,-2.069,2.186,8.806
1645031513226,-2.039,2.265,9.571
1645031513236,-2.01,2.324,10.248
1645031513250,-1.941,2.392,10.699
1645031513258,-1.794,2.451,10.846
1645031513266,-1.569,2.5,10.856
1645031513276,-1.167,2.569,10.728
1645031513287,-0.696,2.716,10.601
1645031513296,-0.274,2.804,10.689
1645031513311,0.147,2.785,11.954
1645031513316,0.098,2.706,11.954
1645031513326,0.186,2.736,12.533
1645031513337,0.264,2.745,12.807
1645031513346,0.205,2.696,12.915
1645031513357,0.235,2.598,12.405
1645031513372,0.333,2.618,12.062
1645031513376,0.392,2.628,11.67
1645031513386,0.451,2.569,11.454
1645031513396,0.529,2.481,11.434
1645031513408,0.608,2.392,11.434
1645031513416,0.706,2.314,11.454
1645031513430,0.863,2.196,11.199
1645031513437,1.039,1.931,10.611
1645031513446,1.157,1.52,9.885
1645031513457,1.304,1.029,9.267
1645031513466,1.696,0.529,8.787
1645031513476,2.235,0.176,8.424
1645031513492,2.853,0.049,8.424
1645031513496,3.295,-0.049,8.904
1645031513506,3.648,-0.068,9.699
1645031513516,3.824,0.029,10.542
1645031513526,3.893,0.225,11.052
1645031513536,3.677,0.392,11.591
1645031513550,3.167,0.578,12.013
1645031513556,2.618,0.735,11.984
1645031513566,2.108,0.755,11.631
1645031513576,1.794,0.706,11.385
1645031513586,1.775,0.706,11.032
1645031513596,2.02,0.637,10.905
